step,x,y,z,mass
198,-54.4428,119.521,4.96464,3e+12
199,-0.0340128,0.312384,-28.94,1e+12
199,160.935,-92.0509,-44.4315,2e+12
199,-57.2786,122.263,5.60099,3e+12
200,0.0461784,0.439112,-28.8914,1e+12
200,165.148,-96.2281,-45.4103,2e+12
200,-60.1143,125.006,6.23734,3e+12
201,0.126359,0.565908,-28.8428,1e+12
201,169.362,-100.405,-46.3891,2e+12
201,-62.95,127.748,6.87367,3e+12
202,0.206529,0.692767,-28.7942,1e+12
202,173.575,-104.583,-47.3679,2e+12
202,-65.7857,130.491,7.50999,3e+12
203,0.286687,0.819687,-28.7456,1e+12
203,177.789,-108.76,-48.3467,2e+12
203,-68.6213,133.233,8.1463,3e+12
204,0.366833,0.946663,-28.6969,1e+12
204,182.002,-112.937,-49.3254,2e+12
204,-71.457,135.976,8.78261,3e+12
205,0.446967,1.07369,-28.6483,1e+12
205,186.215,-117.114,-50.3042,2e+12
205,-74.2926,138.718,9.4189,3e+12
206,0.527087,1.20078,-28.5996,1e+12
206,190.429,-121.291,-51.283,2e+12
206,-77.1282,141.46,10.0552,3e+12
207,0.607195,1.32791,-28.5509,1e+12
207,194.642,-125.468,-52.2618,2e+12
207,-79.9638,144.203,10.6915,3e+12
208,0.687289,1.45508,-28.5022,1e+12
208,198.855,-129.645,-53.2405,2e+12
208,-82.7993,146.945,11.3278,3e+12
209,0.76737,1.5823,-28.4535,1e+12
209,203.069,-133.822,-54.2193,2e+12
209,-85.6349,149.687,11.964,3e+12
210,0.847438,1.70957,-28.4048,1e+12
210,207.282,-137.999,-55.198,2e+12
210,-88.4704,152.43,12.6003,3e+12
211,0.927493,1.83687,-28.356,1e+12
211,211.495,-142.176,-56.1768,2e+12
211,-91.3059,155.172,13.2365,3e+12
212,1.00753,1.96421,-28.3073,1e+12
212,215.708,-146.353,-57.1555,2e+12
212,-94.1414,157.914,13.8728,3e+12
213,1.08756,2.09159,-28.2585,1e+12
213,219.922,-150.53,-58.1343,2e+12
213,-96.9769,160.656,14.509,3e+12
214,1.16758,2.219,-28.2097,1e+12
214,224.135,-154.707,-59.113,2e+12
214,-99.8124,163.399,15.1453,3e+12
215,1.24758,2.34644,-28.161,1e+12
215,228.348,-158.884,-60.0918,2e+12
215,-102.648,166.141,15.7815,3e+12
216,1.32757,2.47392,-28.1122,1e+12
216,232.561,-163.061,-61.0705,2e+12
216,-105.483,168.883,16.4177,3e+12
217,1.40755,2.60143,-28.0634,1e+12
217,236.774,-167.238,-62.0493,2e+12
217,-108.319,171.625,17.054,3e+12
218,1.48751,2.72897,-28.0146,1e+12
218,240.987,-171.415,-63.028,2e+12
218,-111.154,174.367,17.6902,3e+12
219,1.56747,2.85653,-27.9657,1e+12
219,245.201,-175.592,-64.0067,2e+12
219,-113.99,177.109,18.3264,3e+12
220,1.64741,2.98413,-27.9169,1e+12
220,249.414,-179.769,-64.9855,2e+12
220,-116.825,179.851,18.9626,3e+12
221,1.72734,3.11174,-27.8681,1e+12
221,253.627,-183.946,-65.9642,2e+12
221,-119.66,182.593,19.5988,3e+12
222,1.80725,3.23939,-27.8193,1e+12
222,257.84,-188.123,-66.9429,2e+12
222,-122.496,185.335,20.235,3e+12
223,1.88716,3.36706,-27.7704,1e+12
223,262.053,-192.3,-67.9217,2e+12
223,-125.331,188.078,20.8712,3e+12
224,1.96705,3.49475,-27.7216,1e+12
224,266.266,-196.477,-68.9004,2e+12
224,-128.166,190.82,21.5074,3e+12
225,2.04694,3.62246,-27.6727,1e+12
225,270.479,-200.654,-69.8791,2e+12
225,-131.002,193.562,22.1436,3e+12
226,2.12681,3.75019,-27.6238,1e+12
226,274.692,-204.83,-70.8578,2e+12
226,-133.837,196.304,22.7798,3e+12
227,2.20667,3.87795,-27.575,1e+12
227,278.905,-209.007,-71.8365,2e+12
227,-136.672,199.046,23.416,3e+12
228,2.28653,4.00573,-27.5261,1e+12
228,283.118,-213.184,-72.8153,2e+12
228,-139.508,201.788,24.0522,3e+12
229,2.36637,4.13352,-27.4772,1e+12
229,287.331,-217.361,-73.794,2e+12
229,-142.343,204.53,24.6884,3e+12
230,2.4462,4.26133,-27.4283,1e+12
230,291.544,-221.538,-74.7727,2e+12
230,-145.178,207.272,25.3246,3e+12
231,2.52602,4.38917,-27.3794,1e+12
231,295.757,-225.715,-75.7514,2e+12
231,-148.014,210.013,25.9607,3e+12
232,2.60583,4.51702,-27.3305,1e+12
232,299.97,-229.892,-76.7301,2e+12
232,-150.849,212.755,26.5969,3e+12
233,2.68563,4.64488,-27.2816,1e+12
233,304.183,-234.068,-77.7088,2e+12
233,-153.684,215.497,27.2331,3e+12
234,2.76543,4.77276,-27.2327,1e+12
234,308.396,-238.245,-78.6875,2e+12
234,-156.519,218.239,27.8693,3e+12
235,2.84521,4.90066,-27.1838,1e+12
235,312.609,-242.422,-79.6662,2e+12
235,-159.355,220.981,28.5054,3e+12
236,2.92499,5.02858,-27.1349,1e+12
236,316.822,-246.599,-80.6449,2e+12
236,-162.19,223.723,29.1416,3e+12
237,3.00475,5.15651,-27.086,1e+12
237,321.035,-250.776,-81.6237,2e+12
237,-165.025,226.465,29.7778,3e+12
238,3.08451,5.28445,-27.0371,1e+12
238,325.248,-254.952,-82.6024,2e+12
238,-167.86,229.207,30.4139,3e+12
239,3.16426,5.41241,-26.9881,1e+12
239,329.461,-259.129,-83.5811,2e+12
239,-170.696,231.949,31.0501,3e+12
240,3.244,5.54038,-26.9392,1e+12
240,333.674,-263.306,-84.5598,2e+12
240,-173.531,234.691,31.6862,3e+12
241,3.32373,5.66837,-26.8903,1e+12
241,337.887,-267.483,-85.5385,2e+12
241,-176.366,237.432,32.3224,3e+12
242,3.40346,5.79636,-26.8413,1e+12
242,342.1,-271.66,-86.5172,2e+12
242,-179.201,240.174,32.9586,3e+12
243,3.48317,5.92437,-26.7924,1e+12
243,346.313,-275.836,-87.4959,2e+12
243,-182.037,242.916,33.5947,3e+12
244,3.56288,6.0524,-26.7435,1e+12
244,350.526,-280.013,-88.4746,2e+12
244,-184.872,245.658,34.2309,3e+12
245,3.64258,6.18043,-26.6945,1e+12
245,354.739,-284.19,-89.4533,2e+12
245,-187.707,248.4,34.867,3e+12
246,3.72227,6.30848,-26.6456,1e+12
246,358.952,-288.367,-90.432,2e+12
246,-190.542,251.142,35.5032,3e+12
247,3.80196,6.43653,-26.5966,1e+12
247,363.165,-292.544,-91.4106,2e+12
247,-193.377,253.883,36.1393,3e+12
248,3.88164,6.5646,-26.5477,1e+12
248,367.378,-296.72,-92.3893,2e+12
248,-196.212,256.625,36.7754,3e+12
249,3.96131,6.69268,-26.4987,1e+12
249,371.591,-300.897,-93.368,2e+12
249,-199.048,259.367,37.4116,3e+12
250,4.04098,6.82077,-26.4497,1e+12
250,375.804,-305.074,-94.3467,2e+12
250,-201.883,262.109,38.0477,3e+12
251,4.12064,6.94887,-26.4008,1e+12
251,380.017,-309.251,-95.3254,2e+12
251,-204.718,264.851,38.6839,3e+12
252,4.20029,7.07698,-26.3518,1e+12
252,384.23,-313.427,-96.3041,2e+12
252,-207.553,267.593,39.32,3e+12
253,4.27993,7.2051,-26.3028,1e+12
253,388.442,-317.604,-97.2828,2e+12
253,-210.388,270.334,39.9561,3e+12
254,4.35957,7.33323,-26.2539,1e+12
254,392.655,-321.781,-98.2615,2e+12
254,-213.223,273.076,40.5923,3e+12
255,4.4392,7.46136,-26.2049,1e+12
255,396.868,-325.957,-99.2402,2e+12
255,-216.059,275.818,41.2284,3e+12
256,4.51883,7.58951,-26.1559,1e+12
256,401.081,-330.134,-100.219,2e+12
256,-218.894,278.56,41.8645,3e+12
257,4.59845,7.71767,-26.1069,1e+12
257,405.294,-334.311,-101.198,2e+12
257,-221.729,281.301,42.5007,3e+12
258,4.67806,7.84583,-26.058,1e+12
258,409.507,-338.488,-102.176,2e+12
258,-224.564,284.043,43.1368,3e+12
259,4.75767,7.974,-26.009,1e+12
259,413.72,-342.664,-103.155,2e+12
259,-227.399,286.785,43.7729,3e+12
260,4.83727,8.10218,-25.96,1e+12
260,417.933,-346.841,-104.134,2e+12
260,-230.234,289.527,44.4091,3e+12
261,4.91687,8.23037,-25.911,1e+12
261,422.146,-351.018,-105.112,2e+12
261,-233.069,292.268,45.0452,3e+12
262,4.99646,8.35857,-25.862,1e+12
262,426.358,-355.194,-106.091,2e+12
262,-235.904,295.01,45.6813,3e+12
263,5.07604,8.48677,-25.813,1e+12
263,430.571,-359.371,-107.07,2e+12
263,-238.74,297.752,46.3174,3e+12
264,5.15562,8.61498,-25.764,1e+12
264,434.784,-363.548,-108.048,2e+12
264,-241.575,300.494,46.9536,3e+12
265,5.2352,8.7432,-25.715,1e+12
265,438.997,-367.725,-109.027,2e+12
265,-244.41,303.235,47.5897,3e+12
266,5.31477,8.87143,-25.666,1e+12
266,443.21,-371.901,-110.006,2e+12
266,-247.245,305.977,48.2258,3e+12
267,5.39433,8.99966,-25.6171,1e+12
267,447.423,-376.078,-110.984,2e+12
267,-250.08,308.719,48.8619,3e+12
268,5.47389,9.1279,-25.5681,1e+12
268,451.636,-380.255,-111.963,2e+12
268,-252.915,311.46,49.498,3e+12
269,5.55344,9.25615,-25.519,1e+12
269,455.848,-384.431,-112.942,2e+12
269,-255.75,314.202,50.1342,3e+12
270,5.63299,9.3844,-25.47,1e+12
270,460.061,-388.608,-113.92,2e+12
270,-258.585,316.944,50.7703,3e+12
271,5.71253,9.51266,-25.421,1e+12
271,464.274,-392.785,-114.899,2e+12
271,-261.42,319.686,51.4064,3e+12
272,5.79207,9.64092,-25.372,1e+12
272,468.487,-396.961,-115.878,2e+12
272,-264.255,322.427,52.0425,3e+12
273,5.87161,9.7692,-25.323,1e+12
273,472.7,-401.138,-116.856,2e+12
273,-267.09,325.169,52.6786,3e+12
274,5.95114,9.89747,-25.274,1e+12
274,476.913,-405.315,-117.835,2e+12
274,-269.925,327.911,53.3147,3e+12
275,6.03066,10.0258,-25.225,1e+12
275,481.125,-409.491,-118.814,2e+12
275,-272.761,330.652,53.9509,3e+12
276,6.11018,10.154,-25.176,1e+12
276,485.338,-413.668,-119.792,2e+12
276,-275.596,333.394,54.587,3e+12
277,6.1897,10.2823,-25.127,1e+12
277,489.551,-417.845,-120.771,2e+12
277,-278.431,336.136,55.2231,3e+12
278,6.26921,10.4106,-25.078,1e+12
278,493.764,-422.021,-121.75,2e+12
278,-281.266,338.877,55.8592,3e+12
279,6.34872,10.5389,-25.0289,1e+12
279,497.977,-426.198,-122.728,2e+12
279,-284.101,341.619,56.4953,3e+12
280,6.42822,10.6673,-24.9799,1e+12
280,502.19,-430.375,-123.707,2e+12
280,-286.936,344.361,57.1314,3e+12
281,6.50772,10.7956,-24.9309,1e+12
281,506.402,-434.551,-124.686,2e+12
281,-289.771,347.102,57.7675,3e+12
282,6.58721,10.9239,-24.8819,1e+12
282,510.615,-438.728,-125.664,2e+12
282,-292.606,349.844,58.4036,3e+12
283,6.6667,11.0522,-24.8329,1e+12
283,514.828,-442.905,-126.643,2e+12
283,-295.441,352.586,59.0397,3e+12
284,6.74619,11.1806,-24.7838,1e+12
284,519.041,-447.081,-127.622,2e+12
284,-298.276,355.327,59.6758,3e+12
285,6.82567,11.3089,-24.7348,1e+12
285,523.254,-451.258,-128.601,2e+12
285,-301.111,358.069,60.3119,3e+12
286,6.90515,11.4372,-24.6858,1e+12
286,527.467,-455.435,-129.579,2e+12
286,-303.946,360.811,60.948,3e+12
287,6.98463,11.5656,-24.6368,1e+12
287,531.679,-459.611,-130.558,2e+12
287,-306.781,363.552,61.5842,3e+12
288,7.0641,11.6939,-24.5877,1e+12
288,535.892,-463.788,-131.537,2e+12
288,-309.616,366.294,62.2203,3e+12
289,7.14357,11.8223,-24.5387,1e+12
289,540.105,-467.965,-132.515,2e+12
289,-312.451,369.036,62.8564,3e+12
290,7.22303,11.9507,-24.4897,1e+12
290,544.318,-472.141,-133.494,2e+12
290,-315.286,371.777,63.4925,3e+12
291,7.30249,12.079,-24.4406,1e+12
291,548.531,-476.318,-134.473,2e+12
291,-318.121,374.519,64.1286,3e+12
292,7.38195,12.2074,-24.3916,1e+12
292,552.743,-480.495,-135.451,2e+12
292,-320.956,377.261,64.7647,3e+12
293,7.4614,12.3358,-24.3426,1e+12
293,556.956,-484.671,-136.43,2e+12
293,-323.791,380.002,65.4008,3e+12
294,7.54085,12.4641,-24.2935,1e+12
294,561.169,-488.848,-137.409,2e+12
294,-326.626,382.744,66.0369,3e+12
295,7.6203,12.5925,-24.2445,1e+12
295,565.382,-493.024,-138.387,2e+12
295,-329.461,385.485,66.673,3e+12
296,7.69974,12.7209,-24.1955,1e+12
296,569.595,-497.201,-139.366,2e+12
296,-332.296,388.227,67.3091,3e+12
297,7.77918,12.8493,-24.1464,1e+12
297,573.807,-501.378,-140.345,2e+12
297,-335.131,390.969,67.9452,3e+12
298,7.85862,12.9777,-24.0974,1e+12
298,578.02,-505.554,-141.323,2e+12
298,-337.966,393.71,68.5813,3e+12
299,7.93805,13.1061,-24.0483,1e+12
299,582.233,-509.731,-142.302,2e+12
299,-340.801,396.452,69.2173,3e+12
300,8.01748,13.2345,-23.9993,1e+12
300,586.446,-513.908,-143.281,2e+12
300,-343.636,399.194,69.8534,3e+12
301,8.09691,13.3629,-23.9503,1e+12
301,590.659,-518.084,-144.259,2e+12
301,-346.471,401.935,70.4895,3e+12
302,8.17633,13.4913,-23.9012,1e+12
302,594.871,-522.261,-145.238,2e+12
302,-349.306,404.677,71.1256,3e+12
303,8.25575,13.6197,-23.8522,1e+12
303,599.084,-526.437,-146.217,2e+12
303,-352.141,407.418,71.7617,3e+12
304,8.33517,13.7481,-23.8031,1e+12
304,603.297,-530.614,-147.195,2e+12
304,-354.976,410.16,72.3978,3e+12
305,8.41458,13.8766,-23.7541,1e+12
305,607.51,-534.791,-148.174,2e+12
305,-357.811,412.902,73.0339,3e+12
306,8.494,14.005,-23.705,1e+12
306,611.722,-538.967,-149.152,2e+12
306,-360.646,415.643,73.67,3e+12
307,8.57341,14.1334,-23.656,1e+12
307,615.935,-543.144,-150.131,2e+12
307,-363.481,418.385,74.3061,3e+12
308,8.65281,14.2618,-23.6069,1e+12
308,620.148,-547.321,-151.11,2e+12
308,-366.316,421.126,74.9422,3e+12
309,8.73221,14.3903,-23.5579,1e+12
309,624.361,-551.497,-152.088,2e+12
309,-369.151,423.868,75.5783,3e+12
310,8.81161,14.5187,-23.5088,1e+12
310,628.574,-555.674,-153.067,2e+12
310,-371.986,426.61,76.2144,3e+12
311,8.89101,14.6472,-23.4598,1e+12
311,632.786,-559.85,-154.046,2e+12
311,-374.821,429.351,76.8505,3e+12
312,8.97041,14.7756,-23.4107,1e+12
312,636.999,-564.027,-155.024,2e+12
312,-377.656,432.093,77.4866,3e+12
313,9.0498,14.904,-23.3617,1e+12
313,641.212,-568.204,-156.003,2e+12
313,-380.491,434.834,78.1226,3e+12
314,9.12919,15.0325,-23.3126,1e+12
314,645.425,-572.38,-156.982,2e+12
314,-383.326,437.576,78.7587,3e+12
315,9.20857,15.1609,-23.2636,1e+12
315,649.637,-576.557,-157.96,2e+12
315,-386.161,440.318,79.3948,3e+12
316,9.28796,15.2894,-23.2145,1e+12
316,653.85,-580.733,-158.939,2e+12
316,-388.996,443.059,80.0309,3e+12
317,9.36734,15.4179,-23.1655,1e+12
317,658.063,-584.91,-159.918,2e+12
317,-391.831,445.801,80.667,3e+12
318,9.44672,15.5463,-23.1164,1e+12
318,662.276,-589.087,-160.896,2e+12
318,-394.666,448.542,81.3031,3e+12
319,9.52609,15.6748,-23.0674,1e+12
319,666.488,-593.263,-161.875,2e+12
319,-397.501,451.284,81.9392,3e+12
320,9.60547,15.8032,-23.0183,1e+12
320,670.701,-597.44,-162.854,2e+12
320,-400.336,454.025,82.5753,3e+12
321,9.68484,15.9317,-22.9692,1e+12
321,674.914,-601.616,-163.832,2e+12
321,-403.171,456.767,83.2113,3e+12
322,9.76421,16.0602,-22.9202,1e+12
322,679.127,-605.793,-164.811,2e+12
322,-406.006,459.509,83.8474,3e+12
323,9.84357,16.1887,-22.8711,1e+12
323,683.339,-609.97,-165.79,2e+12
323,-408.841,462.25,84.4835,3e+12
324,9.92294,16.3171,-22.8221,1e+12
324,687.552,-614.146,-166.768,2e+12
324,-411.676,464.992,85.1196,3e+12
325,10.0023,16.4456,-22.773,1e+12
325,691.765,-618.323,-167.747,2e+12
325,-414.511,467.733,85.7557,3e+12
326,10.0817,16.5741,-22.7239,1e+12
326,695.978,-622.499,-168.726,2e+12
326,-417.346,470.475,86.3918,3e+12
327,10.161,16.7026,-22.6749,1e+12
327,700.19,-626.676,-169.704,2e+12
327,-420.181,473.216,87.0278,3e+12
328,10.2404,16.8311,-22.6258,1e+12
328,704.403,-630.853,-170.683,2e+12
328,-423.016,475.958,87.6639,3e+12
329,10.3197,16.9596,-22.5768,1e+12
329,708.616,-635.029,-171.662,2e+12
329,-425.851,478.7,88.3,3e+12
330,10.3991,17.0881,-22.5277,1e+12
330,712.829,-639.206,-172.64,2e+12
330,-428.685,481.441,88.9361,3e+12
331,10.4784,17.2166,-22.4786,1e+12
331,717.041,-643.382,-173.619,2e+12
331,-431.52,484.183,89.5722,3e+12
332,10.5578,17.3451,-22.4296,1e+12
332,721.254,-647.559,-174.598,2e+12
332,-434.355,486.924,90.2083,3e+12
333,10.6371,17.4736,-22.3805,1e+12
333,725.467,-651.736,-175.576,2e+12
333,-437.19,489.666,90.8443,3e+12
334,10.7165,17.6021,-22.3314,1e+12
334,729.68,-655.912,-176.555,2e+12
334,-440.025,492.407,91.4804,3e+12
335,10.7958,17.7306,-22.2824,1e+12
335,733.892,-660.089,-177.534,2e+12
335,-442.86,495.149,92.1165,3e+12
336,10.8751,17.8591,-22.2333,1e+12
336,738.105,-664.265,-178.512,2e+12
336,-445.695,497.891,92.7526,3e+12
337,10.9545,17.9876,-22.1842,1e+12
337,742.318,-668.442,-179.491,2e+12
337,-448.53,500.632,93.3887,3e+12
338,11.0338,18.1161,-22.1352,1e+12
338,746.531,-672.618,-180.47,2e+12
338,-451.365,503.374,94.0247,3e+12
339,11.1131,18.2446,-22.0861,1e+12
339,750.743,-676.795,-181.448,2e+12
339,-454.2,506.115,94.6608,3e+12
340,11.1925,18.3731,-22.037,1e+12
340,754.956,-680.972,-182.427,2e+12
340,-457.035,508.857,95.2969,3e+12
341,11.2718,18.5017,-21.988,1e+12
341,759.169,-685.148,-183.405,2e+12
341,-459.87,511.598,95.933,3e+12
342,11.3511,18.6302,-21.9389,1e+12
342,763.382,-689.325,-184.384,2e+12
342,-462.705,514.34,96.5691,3e+12
343,11.4304,18.7587,-21.8898,1e+12
343,767.594,-693.501,-185.363,2e+12
343,-465.54,517.081,97.2051,3e+12
344,11.5098,18.8872,-21.8407,1e+12
344,771.807,-697.678,-186.341,2e+12
344,-468.375,519.823,97.8412,3e+12
345,11.5891,19.0158,-21.7917,1e+12
345,776.02,-701.855,-187.32,2e+12
345,-471.21,522.564,98.4773,3e+12
346,11.6684,19.1443,-21.7426,1e+12
346,780.233,-706.031,-188.299,2e+12
346,-474.044,525.306,99.1134,3e+12
347,11.7477,19.2728,-21.6935,1e+12
347,784.445,-710.208,-189.277,2e+12
347,-476.879,528.048,99.7495,3e+12
348,11.827,19.4013,-21.6445,1e+12
348,788.658,-714.384,-190.256,2e+12
348,-479.714,530.789,100.386,3e+12
349,11.9063,19.5299,-21.5954,1e+12
349,792.871,-718.561,-191.235,2e+12
349,-482.549,533.531,101.022,3e+12
350,11.9856,19.6584,-21.5463,1e+12
350,797.083,-722.737,-192.213,2e+12
350,-485.384,536.272,101.658,3e+12
351,12.065,19.787,-21.4972,1e+12
351,801.296,-726.914,-193.192,2e+12
351,-488.219,539.014,102.294,3e+12
352,12.1443,19.9155,-21.4482,1e+12
352,805.509,-731.091,-194.171,2e+12
352,-491.054,541.755,102.93,3e+12
353,12.2236,20.044,-21.3991,1e+12
353,809.722,-735.267,-195.149,2e+12
353,-493.889,544.497,103.566,3e+12
354,12.3029,20.1726,-21.35,1e+12
354,813.934,-739.444,-196.128,2e+12
354,-496.724,547.238,104.202,3e+12
355,12.3822,20.3011,-21.3009,1e+12
355,818.147,-743.62,-197.107,2e+12
355,-499.559,549.98,104.838,3e+12
356,12.4615,20.4297,-21.2518,1e+12
356,822.36,-747.797,-198.085,2e+12
356,-502.394,552.721,105.474,3e+12
357,12.5408,20.5582,-21.2028,1e+12
357,826.573,-751.973,-199.064,2e+12
357,-505.229,555.463,106.11,3e+12
358,12.6201,20.6868,-21.1537,1e+12
358,830.785,-756.15,-200.043,2e+12
358,-508.064,558.204,106.746,3e+12
359,12.6994,20.8153,-21.1046,1e+12
359,834.998,-760.327,-201.021,2e+12
359,-510.898,560.946,107.382,3e+12
360,12.7787,20.9439,-21.0555,1e+12
360,839.211,-764.503,-202,2e+12
360,-513.733,563.687,108.018,3e+12
361,12.858,21.0725,-21.0065,1e+12
361,843.423,-768.68,-202.979,2e+12
361,-516.568,566.429,108.655,3e+12
362,12.9372,21.201,-20.9574,1e+12
362,847.636,-772.856,-203.957,2e+12
362,-519.403,569.17,109.291,3e+12
363,13.0165,21.3296,-20.9083,1e+12
363,851.849,-777.033,-204.936,2e+12
363,-522.238,571.912,109.927,3e+12
364,13.0958,21.4581,-20.8592,1e+12
364,856.062,-781.209,-205.914,2e+12
364,-525.073,574.654,110.563,3e+12
365,13.1751,21.5867,-20.8101,1e+12
365,860.274,-785.386,-206.893,2e+12
365,-527.908,577.395,111.199,3e+12
366,13.2544,21.7153,-20.7611,1e+12
366,864.487,-789.562,-207.872,2e+12
366,-530.743,580.137,111.835,3e+12
367,13.3337,21.8438,-20.712,1e+12
367,868.7,-793.739,-208.85,2e+12
367,-533.578,582.878,112.471,3e+12
368,13.4129,21.9724,-20.6629,1e+12
368,872.912,-797.916,-209.829,2e+12
368,-536.413,585.62,113.107,3e+12
369,13.4922,22.101,-20.6138,1e+12
369,877.125,-802.092,-210.808,2e+12
369,-539.248,588.361,113.743,3e+12
370,13.5715,22.2295,-20.5647,1e+12
370,881.338,-806.269,-211.786,2e+12
370,-542.082,591.103,114.379,3e+12
371,13.6508,22.3581,-20.5156,1e+12
371,885.551,-810.445,-212.765,2e+12
371,-544.917,593.844,115.015,3e+12
372,13.7301,22.4867,-20.4666,1e+12
372,889.763,-814.622,-213.744,2e+12
372,-547.752,596.586,115.651,3e+12
373,13.8093,22.6153,-20.4175,1e+12
373,893.976,-818.798,-214.722,2e+12
373,-550.587,599.327,116.287,3e+12
374,13.8886,22.7438,-20.3684,1e+12
374,898.189,-822.975,-215.701,2e+12
374,-553.422,602.069,116.923,3e+12
375,13.9679,22.8724,-20.3193,1e+12
375,902.401,-827.151,-216.68,2e+12
375,-556.257,604.81,117.56,3e+12
376,14.0471,23.001,-20.2702,1e+12
376,906.614,-831.328,-217.658,2e+12
376,-559.092,607.552,118.196,3e+12
377,14.1264,23.1296,-20.2211,1e+12
377,910.827,-835.505,-218.637,2e+12
377,-561.927,610.293,118.832,3e+12
378,14.2057,23.2582,-20.172,1e+12
378,915.04,-839.681,-219.616,2e+12
378,-564.762,613.035,119.468,3e+12
379,14.2849,23.3868,-20.123,1e+12
379,919.252,-843.858,-220.594,2e+12
379,-567.597,615.776,120.104,3e+12
380,14.3642,23.5153,-20.0739,1e+12
380,923.465,-848.034,-221.573,2e+12
380,-570.431,618.518,120.74,3e+12
381,14.4435,23.6439,-20.0248,1e+12
381,927.678,-852.211,-222.551,2e+12
381,-573.266,621.259,121.376,3e+12
382,14.5227,23.7725,-19.9757,1e+12
382,931.89,-856.387,-223.53,2e+12
382,-576.101,624.001,122.012,3e+12
383,14.602,23.9011,-19.9266,1e+12
383,936.103,-860.564,-224.509,2e+12
383,-578.936,626.742,122.648,3e+12
384,14.6812,24.0297,-19.8775,1e+12
384,940.316,-864.74,-225.487,2e+12
384,-581.771,629.484,123.284,3e+12
385,14.7605,24.1583,-19.8284,1e+12
385,944.529,-868.917,-226.466,2e+12
385,-584.606,632.225,123.92,3e+12
386,14.8398,24.2869,-19.7794,1e+12
386,948.741,-873.094,-227.445,2e+12
386,-587.441,634.967,124.556,3e+12
387,14.919,24.4155,-19.7303,1e+12
387,952.954,-877.27,-228.423,2e+12
387,-590.276,637.708,125.192,3e+12
388,14.9983,24.5441,-19.6812,1e+12
388,957.167,-881.447,-229.402,2e+12
388,-593.111,640.45,125.828,3e+12
389,15.0775,24.6727,-19.6321,1e+12
389,961.379,-885.623,-230.381,2e+12
389,-595.945,643.191,126.464,3e+12
390,15.1568,24.8013,-19.583,1e+12
390,965.592,-889.8,-231.359,2e+12
390,-598.78,645.933,127.101,3e+12
391,15.236,24.9299,-19.5339,1e+12
391,969.805,-893.976,-232.338,2e+12
391,-601.615,648.674,127.737,3e+12
392,15.3153,25.0585,-19.4848,1e+12
392,974.017,-898.153,-233.317,2e+12
392,-604.45,651.416,128.373,3e+12
393,15.3945,25.1871,-19.4357,1e+12
393,978.23,-902.329,-234.295,2e+12
393,-607.285,654.157,129.009,3e+12
394,15.4738,25.3157,-19.3866,1e+12
394,982.443,-906.506,-235.274,2e+12
394,-610.12,656.899,129.645,3e+12
395,15.553,25.4443,-19.3375,1e+12
395,986.656,-910.682,-236.253,2e+12
395,-612.955,659.64,130.281,3e+12
396,15.6323,25.5729,-19.2885,1e+12
396,990.868,-914.859,-237.231,2e+12
396,-615.79,662.382,130.917,3e+12
397,15.7115,25.7015,-19.2394,1e+12
397,995.081,-919.036,-238.21,2e+12
397,-618.624,665.123,131.553,3e+12
398,15.7907,25.8301,-19.1903,1e+12
398,999.294,-923.212,-239.188,2e+12
398,-621.459,667.865,132.189,3e+12
399,15.87,25.9588,-19.1412,1e+12
399,1003.51,-927.389,-240.167,2e+12
399,-624.294,670.606,132.825,3e+12
400,15.9492,26.0874,-19.0921,1e+12
400,1007.72,-931.565,-241.146,2e+12
400,-627.129,673.348,133.461,3e+12
401,16.0285,26.216,-19.043,1e+12
401,1011.93,-935.742,-242.124,2e+12
401,-629.964,676.089,134.097,3e+12
402,16.1077,26.3446,-18.9939,1e+12
402,1016.14,-939.918,-243.103,2e+12
402,-632.799,678.831,134.733,3e+12
403,16.1869,26.4732,-18.9448,1e+12
403,1020.36,-944.095,-244.082,2e+12
403,-635.634,681.572,135.369,3e+12
404,16.2662,26.6018,-18.8957,1e+12
404,1024.57,-948.271,-245.06,2e+12
404,-638.469,684.314,136.005,3e+12
405,16.3454,26.7304,-18.8466,1e+12
405,1028.78,-952.448,-246.039,2e+12
405,-641.303,687.055,136.642,3e+12
406,16.4246,26.8591,-18.7975,1e+12
406,1033,-956.624,-247.018,2e+12
406,-644.138,689.797,137.278,3e+12
407,16.5039,26.9877,-18.7484,1e+12
407,1037.21,-960.801,-247.996,2e+12
407,-646.973,692.538,137.914,3e+12
408,16.5831,27.1163,-18.6993,1e+12
408,1041.42,-964.977,-248.975,2e+12
408,-649.808,695.28,138.55,3e+12
409,16.6623,27.2449,-18.6502,1e+12
409,1045.63,-969.154,-249.954,2e+12
409,-652.643,698.021,139.186,3e+12
410,16.7415,27.3736,-18.6011,1e+12
410,1049.85,-973.331,-250.932,2e+12
410,-655.478,700.763,139.822,3e+12
411,16.8208,27.5022,-18.552,1e+12
411,1054.06,-977.507,-251.911,2e+12
411,-658.313,703.504,140.458,3e+12
412,16.9,27.6308,-18.503,1e+12
412,1058.27,-981.684,-252.889,2e+12
412,-661.148,706.245,141.094,3e+12
413,16.9792,27.7594,-18.4539,1e+12
413,1062.48,-985.86,-253.868,2e+12
413,-663.982,708.987,141.73,3e+12
414,17.0584,27.8881,-18.4048,1e+12
414,1066.7,-990.037,-254.847,2e+12
